Stock Number,Name,Brand,Collection,Department,Item Type,Styles,Gender,Materials,Description,Image 1,Details,Availability,Price Notes,Price,Width,Fit,Settings,Total Carat Weight,xItem Sub Type
"ER7838WD","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","30RD DI D=.25","https://bassalijewelry.com/images/items/ER7838WD.jpg","","1","","1050","","","","","Mounting"
"ER7839WD","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","36RD=.30","https://bassalijewelry.com/images/items/ER7839WD.jpg","","1","","1050","","","","","Mounting"
"ER11848WD","","Bassali Jewelry","","Fashion","Earring","","M","18K White Gold","20RD=.42 18K","https://bassalijewelry.com/images/items/ER11848WD.jpg","","1","","2100","","","","","Studs"
"ER11881D","","Bassali Jewelry","","Fashion","Earring","","M","14K Yellow Gold","64RD=.16 14KY","https://bassalijewelry.com/images/items/ER11881D.jpg","","2","","870","","","","","Studs"
"ER11881KD","","Bassali Jewelry","","Fashion","Earring","","M","14K Rose Gold","64RD=.16 14KR","https://bassalijewelry.com/images/items/ER11881KD.jpg","","2","","870","","","","","Studs"
"ER11881WD","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","64RD=.16 14KW","https://bassalijewelry.com/images/items/ER11881WD.jpg","","1","","870","","","","","Studs"
"ER11906D","","Bassali Jewelry","","Fashion","Earring","","M","14K Yellow Gold","2RD=.05 14KY","https://bassalijewelry.com/images/items/ER11906D.jpg","","2","","600","","","","","Hoops"
"ER11906KD","","Bassali Jewelry","","Fashion","Earring","","M","14K Rose Gold","2RD=.05 14KR","https://bassalijewelry.com/images/items/ER11906KD.jpg","","1","","600","","","","","Hoops"
"ER11923KDMP","","Bassali Jewelry","","Fashion","Earring","","M","14K Rose Gold","32RD=.09 2MP=.12 14K","https://bassalijewelry.com/images/items/ER11923KDMP.jpg","","1","","660","","","","","Studs"
"ER11923KDTU","","Bassali Jewelry","","Fashion","Earring","","M","14K Rose Gold","32RD=.09 2TURQ=.12 14K","https://bassalijewelry.com/images/items/ER11923KDTU.jpg","","1","","660","","","","","Studs"
"ER11923WDBA","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","32RD=.09 2BLAGT=.12 14K","https://bassalijewelry.com/images/items/ER11923WDBA.jpg","","1","","660","","","","","Studs"
"ER11923WDLP","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","32RD=.09 2LP=.12 14KW","https://bassalijewelry.com/images/items/ER11923WDLP.jpg","","1","","660","","","","","Studs"
"RG2891DR","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","4RD DI 4MQ RUBY  D=.10 R=.50","https://bassalijewelry.com/images/items/RG2891DR.jpg","","7","","420","","","","","Cluster"
"RG2891DS","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","4RD DI 4MQ SAPH  D=.10 S=.50","https://bassalijewelry.com/images/items/RG2891DR.jpg","","3","","360","","","","","Cluster"
"RG2971DE","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","12RD DI 1OV EMER D=.10 E=.60","https://bassalijewelry.com/images/items/RG2971DE.jpg","","1","","660","","","","","Centerstone"
"RG2993DR","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","4RD DI 4MQ RUBY  D=.07 R=.80","https://bassalijewelry.com/images/items/RG2993DR.jpg","","8","","480","","","","","Cluster"
"RG2993DS","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","4RD DI 4MQ SAPH  D=.07 S=.80","https://bassalijewelry.com/images/items/RG2993DS.jpg","","6","","420","","","","","Cluster"
"RG3277WB","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","1OV BTOP BT=4.50","https://bassalijewelry.com/images/items/RG3277WB.jpg","","1","","600","","","","","Centerstone"
"RG3348WD","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K White Gold","23RD DI D=.50","https://bassalijewelry.com/images/items/RG3348WD.jpg","","1","","2550","","","","","Band"
"RG3352/D","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","9RD DI D=.25 CT.","https://bassalijewelry.com/images/items/RG3352D.jpg","","1","","1050","","","","","Fashion"
"RG3389WDE","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","4RD DI 1OV EMER  D=.24 E=1.00","https://bassalijewelry.com/images/items/RG3389WE.jpg","","1","","960","","","","","Centerstone"
"RG3393DS","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","2SQ DI 1OV SAPH  D=.10 S=1.00","https://bassalijewelry.com/images/items/RG3393DS.jpg","","1","","840","","","","","Centerstone"
"RG3393DT","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","2SQ DI 1OV TANZ  D=.10 TZ=1.00","https://bassalijewelry.com/images/items/RG3393DT.jpg","","2","","1200","","","","","Centerstone"
"RG3410DS","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","2RD DI 1OV SAPH  D=.10 S=.50","https://bassalijewelry.com/images/items/RG3410DS.jpg","","1","","540","","","","","Centerstone"
"RG3428/P","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","1TR PSAP PS=.80","https://bassalijewelry.com/images/items/RG3428P.jpg","","1","","840","","","","","Centerstone"
"RG3454DS","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","2RD DI 1OV SAPH  D=.40 S=1.40","https://bassalijewelry.com/images/items/RG3454DS.jpg","","1","","1200","","","","","Centerstone"
"RG3454DT","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","2RD DI 1OV TANZ  D=.40 TZ=1.35","https://bassalijewelry.com/images/items/RG3454DT.jpg","","1","","1200","","","","","Centerstone"
"RG3537DE","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","2RD=.08 1OV/EMER E=.80","https://bassalijewelry.com/images/items/RG3537DE.jpg","","1","","1200","","","","","Centerstone"
"RG3537XDGS","","Bassali Jewelry","","Fashion","Ring","","M","14K Two-tone","2RD DI 1OV GOSA  D=.08 GOS=1.1","https://bassalijewelry.com/images/items/RG3537XDGS.jpg","","1","","900","","","","","Centerstone"
"RG3604XDLQ","","Bassali Jewelry","","Fashion","Ring","","M","14K Two-tone","7RD=.10 1TR/LQTZ LQ=.55","https://bassalijewelry.com/images/items/RG3604XDLQ.jpg","","1","","780","","","","","Centerstone"
"RG3606DT","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K Yellow Gold","16RD DI 3SQ TANZ D=.32 TZ=.45","https://bassalijewelry.com/images/items/RG3606DT.jpg","","1","","900","","","","","Band"
"RG3825DT","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","4RD DI 1TR TANZ  D=.12 TZ=.70","https://bassalijewelry.com/images/items/RG3825DT.jpg","","1","","1200","","","","","Centerstone"
"RG3939WDS","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","14RD DI 1OV SAPH D=.25 S=1.20","https://bassalijewelry.com/images/items/RG3939WDS.jpg","","1","","1050","","","","","Centerstone"
"RG4054D","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K Yellow Gold","14RD=.28 14K","https://bassalijewelry.com/images/items/RG4054D.jpg","","1","","900","","","","","Band"
"RG4058DD","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","6RD DI 1PS PERD  D=.15 PD=.60","https://bassalijewelry.com/images/items/RG4058DD.jpg","","1","","420","","","","","Centerstone"
"RG4058DS","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","6RD DI 1PS SAPH  D=.15 S=.90","https://bassalijewelry.com/images/items/RG4058DS.jpg","","1","","600","","","","","Centerstone"
"RG4058DT","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","6RD DI 1PS TANZ  D=.15 TZ=.70","https://bassalijewelry.com/images/items/RG4058DT.jpg","","1","","840","","","","","Centerstone"
"RG4058WDS","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","6RD DI 1PS SAPH  D=.15 S=.90","https://bassalijewelry.com/images/items/RG4058WDS.jpg","","2","","600","","","","","Centerstone"
"RG4256WDD","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","4PC DI 1EC PERD  D=.40 PD=2.50","https://bassalijewelry.com/images/items/RG4256WDD.jpg","","1","","3300","","","","","Centerstone"
"RG4257WDT1","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","6PC DI 1EC TANZ  D=.30 TZ=7.10","https://bassalijewelry.com/images/items/RG4257WT.jpg","","1","","8550","","","","","Centerstone"
"RG4400WDD","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","30RD DI 1EC PERD D=.40 PD=2.20","https://bassalijewelry.com/images/items/RG4400WDD.jpg","","1","","2100","","","","","Centerstone"
"RG4761DR","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K Yellow Gold","3RD DI 4RD RUBY  D=.20 R=.50","https://bassalijewelry.com/images/items/RG4761DR.jpg","","1","","660","","","","","Band"
"RG5058DS","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K Yellow Gold","3RD DI 4RD SAPH  D=.35 S=.70","https://bassalijewelry.com/images/items/RG5058DS.jpg","","1","","810","","","","","Band"
"RG5070WD","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","48RD DI D=.50","https://bassalijewelry.com/images/items/RG5070WD.jpg","","1","","1500","","","","","Fashion"
"RG5091WDA","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","131RD=1.30 1CC/AMET A=4.50","https://bassalijewelry.com/images/items/RG5091WDA.jpg","","1","","2400","","","","","Centerstone"
"RG5095WDG","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","14RD DI 1OV GARN D=.20 G=5.10","https://bassalijewelry.com/images/items/RG5095WDG.jpg","","1","","1800","","","","","Centerstone"
"RG5095WDP","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","14RD DI 1OV PTOP D=.20 PT=5.10","https://bassalijewelry.com/images/items/RG5095WDP.jpg","","1","","1200","","","","","Centerstone"
"RG5123WD","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K White Gold","3PC16RD DI D=.85 D=.45","https://bassalijewelry.com/images/items/RG5123WD.jpg","","2","","2550","","","","","Band"
"RG5140WDP","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","32RD DI 1OV PTOP D=1.00 PT=7.0","https://bassalijewelry.com/images/items/RG5140WDP.jpg","","1","","2250","","","","","Centerstone"
"RG5155WDD","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","4RD DI 1SQ PERD  D=.10 PD=2.70","https://bassalijewelry.com/images/items/RG5155WDD.jpg","","1","","750","","","","","Centerstone"
"RG5156WDQ","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","4RD=.16 1OV/AQUA AQ=3.20","https://bassalijewelry.com/images/items/RG5156WDQ.jpg","","1","","1200","","","","","Centerstone"
"RG5157WDQ","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","2RD DI 1CC AQUA  D=.05 AQ=1.50","https://bassalijewelry.com/images/items/RG5157WDQ.jpg","","1","","600","","","","","Centerstone"
"RG5157WDSQ","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","2RD=.05 1CC/SQTZ SQ=1.50","https://bassalijewelry.com/images/items/RG5157WDSQ.jpg","","1","","600","","","","","Centerstone"
"RG5200WDD","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","88RD DI 1OV PERD D=1.10 PD=3.5","https://bassalijewelry.com/images/items/RG5200WDD.jpg","","1","","3300","","","","","Centerstone"
"RG5201WDB","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","24RD DI 1CC BTOP D=.30 BT=8.00","https://bassalijewelry.com/images/items/RG5201WDB.jpg","","1","","2400","","","","","Centerstone"
"RG5212WDC","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","36RD=.40 1CC/CITR C=5.50","https://bassalijewelry.com/images/items/RG5212WDC.jpg","","1","","2100","","","","","Centerstone"
"RG5240WDR","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","33RD=.17 1RD/RUBY R=.30","https://bassalijewelry.com/images/items/RG5240WDR.jpg","","2","","1050","","","","","Centerstone"
"RG5512WDD","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","44RD DI 1CC PERD D=.50 PD=3.20","https://bassalijewelry.com/images/items/RG5512WDD.jpg","","2","","2250","","","","","Centerstone"
"RG5515WDP","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","40RD DI 1CC PTOP D=.40 P=3.40","https://bassalijewelry.com/images/items/RG5515WDP.jpg","","1","","1200","","","","","Centerstone"
"RG5517WDY","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","60RD DI 1OV YSAP D=.60 YS=1.50","https://bassalijewelry.com/images/items/RG5517WDY.jpg","","1","","1650","","","","","Centerstone"
"RG5523WDP","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","24RD DI 1OV PTOP D=.30 PT=5.60","https://bassalijewelry.com/images/items/RG5523WDP.jpg","","1","","1380","","","","","Centerstone"
"RG5562WDA","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","63RD DI 1OV AMET D=.60 A=2.90","https://bassalijewelry.com/images/items/RG5562WDA.jpg","","1","","2100","","","","","Centerstone"
"RG5564DP","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","10RD DI 1OV PTOP D=.20 P=4.90","https://bassalijewelry.com/images/items/RG5564DP (2).jpg","","1","","1200","","","","","Centerstone"
